fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.5,,0,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,,,,3,0,3,0,1,2,2,0,96,22,1,95
0.55,left,0,,,,,,,stim/both.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.529999971,,,3,0,3,0,1,2,2,0,96,25,1,95
0.5,,0,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,,,,3,0,3,0,1,2,2,0,96,40,1,95
0.5,right,1,,,,,,,stim/both.png,stim/congRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.513000011,,,3,0,3,0,1,2,2,0,96,9,1,95
0.6,left,1,,,,,,,stim/both.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.680000067,,,3,0,3,0,1,2,2,0,96,13,1,95
1.15,left,1,,,,,,,stim/centre.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.56400013,,,3,0,3,0,1,2,2,0,96,2,1,95
0.85,right,1,,,,,,,stim/blank.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.097000122,,,3,0,3,0,1,2,2,0,96,27,1,95
0.65,right,1,,,,,,,stim/upper.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.897000074,,,3,0,3,0,1,2,2,0,96,24,1,95
0.45,right,1,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.846999884,,,3,0,3,0,1,2,2,0,96,20,1,95
0.6,left,1,,,,,,,stim/centre.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.180999994,,,3,0,3,0,1,2,2,0,96,30,1,95
1.55,right,1,,,,,,,stim/both.png,stim/neutralRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.696000099,,,3,0,3,0,1,2,2,0,96,41,1,95
0.75,right,1,,,,,,,stim/centre.png,stim/congRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.492000103,,,3,0,3,0,1,2,2,0,96,10,1,95
1.55,left,1,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.796999931,,,3,0,3,0,1,2,2,0,96,16,1,95
0.75,right,1,,,,,,,stim/both.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.529999971,,,3,0,3,0,1,2,2,0,96,5,1,95
1.45,left,1,,,,,,,stim/blank.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.496999979,,,3,0,3,0,1,2,2,0,96,15,1,95
0.9,right,1,,,,,,,stim/centre.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.463000059,,,3,0,3,0,1,2,2,0,96,6,1,95
